Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2015,5.8,5.6,5.6,5.5,5.7,5.3,5.2,5.1,5.1,5.1,5.2,5.1
2016,4.8,4.9,4.9,5.1,4.8,4.9,5.0,5.0,5.1,5.0,4.9,4.8
2017,4.7,4.6,4.5,4.4,4.3,4.3,4.4,4.5,4.3,4.3,4.3,4.2
2018,4.1,4.0,4.0,4.1,4.0,4.1,3.8,3.8,3.8,3.9,3.7,4.0
2019,4.0,3.7,3.9,3.8,3.7,3.7,3.7,3.7,3.6,3.7,3.6,3.5
2020,3.5,3.5,4.4,13.5,12.1,10.5,9.8,8.2,7.6,7.1,6.9,6.7
2021,6.4,6.4,6.2,6.2,6.0,6.0,5.6,5.3,4.9,4.5,4.1,4.0
2022,4.0,3.8,3.7,3.8,3.6,3.7,3.6,3.7,3.6,3.6,3.7,3.5
2023,3.6,3.6,3.6,3.5,3.7,3.7,3.7,4.0,4.1,4.1,4.0,3.9
2024,3.9,3.8,3.8,3.9,4.2,4.1,4.3,4.3,4.2,4.2,4.3,4.1
2025,4.0,4.2,4.2,4.4,4.3,4.3,4.4,4.4,4.4,,,
